iter	Passed	Remaining
687	5273	2391
688	5280	2383
689	5288	2376
690	5296	2368
691	5303	2360
692	5311	2353
693	5319	2345
694	5326	2337
695	5334	2330
696	5342	2322
697	5349	2314
698	5356	2306
699	5363	2298
700	5372	2291
701	5379	2283
702	5386	2275
703	5393	2267
704	5400	2259
705	5407	2252
706	5416	2244
707	5423	2236
708	5431	2229
709	5438	2221
710	5446	2213
711	5453	2205
712	5461	2198
713	5467	2190
714	5476	2182
715	5483	2175
716	5490	2167
717	5499	2159
718	5507	2152
719	5514	2144
720	5522	2137
721	5529	2129
722	5538	2121
723	5546	2114
724	5554	2106
725	5561	2099
726	5569	2091
727	5576	2083
728	5584	2076
729	5592	2068
730	5600	2061
731	5608	2053
732	5616	2045
733	5625	2038
734	5634	2031
735	5642	2024
736	5650	2016
737	5658	2008
738	5667	2001
739	5676	1994
740	5685	1987
741	5695	1980
742	5706	1973
743	5716	1966
744	5725	1959
745	5734	1952
746	5746	1946
747	5755	1938
748	5765	1932
749	5775	1925
750	5785	1918
751	5794	1910
752	5803	1903
753	5810	1895
754	5817	1887
755	5825	1880
756	5832	1872
757	5841	1864
758	5848	1857
759	5857	1849
760	5864	1841
761	5873	1834
762	5881	1826
763	5889	1819
764	5897	1811
765	5904	1803
766	5912	1796
767	5920	1788
768	5928	1781
769	5937	1773
770	5946	1766
771	5953	1758
772	5965	1751
773	5974	1744
774	5984	1737
775	5993	1730
776	6003	1722
777	6011	1715
778	6021	1708
779	6030	1701
780	6039	1693
781	6047	1685
782	6056	1678
783	6066	1671
784	6074	1663
785	6086	1657
786	6094	1649
787	6103	1641
788	6111	1634
789	6118	1626
790	6126	1618
791	6136	1611
792	6144	1603
793	6152	1596
794	6161	1588
795	6170	1581
796	6179	1573
797	6188	1566
798	6195	1558
799	6203	1550
800	6212	1543
801	6221	1536
802	6230	1528
803	6239	1520
804	6248	1513
805	6257	1506
806	6266	1498
807	6273	1490
808	6281	1483
809	6290	1475
810	6297	1467
811	6307	1460
812	6316	1452
813	6325	1445
814	6333	1437
815	6342	1430
816	6350	1422
817	6359	1414
818	6367	1407
819	6376	1399
820	6384	1392
821	6392	1384
822	6399	1376
823	6408	1368
824	6417	1361
825	6424	1353
826	6433	1345
827	6442	1338
828	6451	1330
829	6459	1323
830	6467	1315
831	6476	1307
832	6485	1300
833	6492	1292
834	6503	1285
835	6510	1277
836	6518	1269
837	6526	1261
838	6534	1253
839	6541	1246
840	6550	1238
841	6558	1230
842	6568	1223
843	6576	1215
844	6583	1207
845	6591	1199
846	6600	1192
847	6608	1184
848	6617	1176
849	6626	1169
850	6634	1161
851	6643	1154
852	6651	1146
853	6658	1138
854	6666	1130
855	6676	1123
856	6683	1115
857	6691	1107
858	6699	1099
859	6707	1091
860	6715	1084
861	6723	1076
862	6731	1068
863	6740	1060
864	6747	1053
865	6755	1045
866	6764	1037
867	6772	1029
868	6781	1022
869	6789	1014
870	6796	1006
871	6803	998
872	6809	990
873	6818	982
874	6826	975
875	6834	967
876	6846	960
877	6855	952
878	6864	944
879	6873	937
880	6880	929
881	6888	921
882	6895	913
883	6905	906
884	6913	898
885	6922	890
886	6930	882
887	6938	875
888	6945	867
889	6955	859
890	6964	852
891	6972	844
892	6980	836
893	6987	828
894	6995	820
895	7003	812
896	7012	805
897	7020	797
898	7028	789
899	7036	781
900	7043	773
901	7051	766
902	7059	758
903	7066	750
904	7073	742
905	7081	734
906	7090	727
907	7097	719
908	7104	711
909	7113	703
910	7120	695
911	7128	687
912	7136	680
913	7144	672
914	7152	664
915	7159	656
916	7166	648
917	7173	640
918	7181	633
919	7189	625
920	7198	617
921	7212	610
922	7225	602
923	7235	595
924	7245	587
925	7254	579
926	7265	572
927	7280	564
928	7294	557
929	7301	549
930	7309	541
931	7316	533
932	7324	525
933	7331	518
934	7339	510
935	7347	502
936	7354	494
937	7362	486
938	7370	478
939	7378	470
940	7386	463
941	7394	455
942	7402	447
943	7411	439
944	7418	431
945	7426	423
946	7433	416
947	7442	408
948	7450	400
949	7458	392
950	7467	384
951	7475	376
952	7481	368
953	7490	361
954	7497	353
955	7504	345
956	7512	337
957	7520	329
958	7527	321
959	7535	313
960	7543	306
961	7550	298
962	7557	290
963	7566	282
964	7574	274
965	7582	266
966	7591	259
967	7599	251
968	7606	243
969	7612	235
970	7619	227
971	7628	219
972	7636	211
973	7643	204
974	7651	196
975	7658	188
976	7667	180
977	7674	172
978	7683	164
979	7692	156
980	7699	149
981	7708	141
982	7715	133
983	7723	125
984	7731	117
985	7738	109
986	7747	102
987	7757	94
988	7766	86
989	7778	78
990	7786	70
991	7794	62
992	7804	55
993	7812	47
994	7822	39
995	7832	31
996	7840	23
997	7853	15
998	7863	7
999	7880	0
